no,store,sku,cat_code,cat_name,material_name,count_name,quantity,cost,price_avg
1186,MAIN,ALR006S01B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" White (BK)",ใบ,"1,500",570,0.38
1187,MAIN,ALR006S02B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Pink (BK)",ใบ,11,5.25,0.4773
1188,MAIN,ALR006S04B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Lilac (BK)",ใบ,"3,000","1,140.00",0.38
1189,MAIN,ALR006S06B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Green (BK)",ใบ,2,1.02,0.51
1190,MAIN,ALR006S07B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Lime Green (BK)",ใบ,2,1.02,0.51
1191,MAIN,ALR006S08B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Yellow (BK)",ใบ,2,1.02,0.51
1192,MAIN,ALR006S09B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Orange (BK)",ใบ,71,36.21,0.51
1193,MAIN,ALR006S10B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Red (BK)",ใบ,"3,960","1,504.80",0.38
1194,MAIN,ALR006S11B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Dark Blue (BK)",ใบ,80,40.41,0.5051
1195,MAIN,ALR006S13B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" Chocolate Brown (BK)",ใบ,2,1.02,0.51
1196,MAIN,ALR006S15B0,1BL,BK LATEX,"ลูกโป่งยางกลม 6"" P.Red Fuchsia (BK)",ใบ,"1,002",511.02,0.51
1246,MAIN,ALR010S08B0,1BL,BK LATEX,"ลูกโป่งยางกลม 10"" Yellow (BK)",ใบ,98,78.4,0.8
1247,MAIN,ALR010S11B0,1BL,BK LATEX,"ลูกโป่งยางกลม 10"" Dark Blue (BK)",ใบ,216,172.8,0.8
1248,MAIN,ALR010S12B0,1BL,BK LATEX,"ลูกโป่งยางกลม 10"" Onxy Black (BK)",ใบ,,,
1249,MAIN,ALR010S46B0,1BL,BK LATEX,"ลูกโป่งยางกลม 10"" P.Ruby Red (BK)",ใบ,17,21.25,1.25
